,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Juegang,45,CN,1563598863,59,32.31,121.18,93.0,9.22
376,Rocha,0,UY,1563598863,95,-34.48,-54.34,53.87,4.41
377,Sisimiut,92,GL,1563598864,93,66.94,-53.67,41.27,12.06
378,Lipin Bor,83,RU,1563598865,86,60.26,37.97,60.89,0.89
379,Carbonia,20,IT,1563598865,88,39.17,8.53,69.8,1.12
380,East Lansing,1,US,1563598866,78,42.74,-84.49,84.2,8.05
381,Dudinka,0,RU,1563598866,36,69.41,86.18,75.2,15.66
382,Linxia,0,CN,1563598866,42,35.6,103.21,74.93,5.86
383,Salinopolis,7,BR,1563598867,80,-0.61,-47.36,79.79,12.03
384,Inirida,94,CO,1563598823,97,3.87,-67.92,71.33,1.14
385,Sinop,0,TR,1563598867,77,42.03,35.15,63.0,5.82
386,Puerto Rico,92,CO,1563598867,95,1.91,-75.15,56.03,2.3
387,Anadyr,75,RU,1563598867,72,64.73,177.51,66.2,6.71
388,Garissa,49,KE,1563598868,61,-0.46,39.64,76.91,16.64
389,Belyy Yar,75,RU,1563598871,88,53.6,91.39,66.2,4.47
390,Mata,0,PT,1563598871,96,40.68,-7.46,64.99,1.01
391,Coquimbo,43,CL,1563598827,93,-29.95,-71.34,48.2,1.12
392,Northam,90,AU,1563598872,71,-31.65,116.67,57.2,18.34
393,Alta Floresta,20,BR,1563598872,53,-9.87,-56.08,70.61,3.71
394,San Antonio,0,CL,1563598873,93,-33.58,-71.61,39.2,2.24
395,Miri,100,NG,1563598873,82,10.31,9.75,70.07,5.21
396,San Quintin,100,PH,1563598873,77,17.54,120.52,84.47,8.16
397,Rawson,0,AR,1563598874,56,-43.3,-65.11,38.75,10.47
398,Nioro,100,GM,1563598874,74,13.79,-15.05,74.75,6.13
399,Moindou,90,NC,1563598874,60,-21.69,165.68,69.8,9.17
400,Kodinsk,100,RU,1563598875,67,58.6,99.18,56.75,9.57
401,Yerbogachen,0,RU,1563598875,33,61.28,108.01,67.91,16.31
402,Kitui,1,KE,1563598875,62,-1.37,38.02,69.17,3.22
403,Caibarien,20,CU,1563598875,83,22.52,-79.47,78.8,3.36
404,Te Anau,99,NZ,1563598832,87,-45.41,167.72,44.33,4.21
405,Kirakira,43,SB,1563598876,84,-10.46,161.92,79.43,17.25
406,Rio Grande,65,BR,1563598876,95,-32.03,-52.1,57.99,3.85
407,Komsomolskiy,57,RU,1563598877,77,67.55,63.78,61.43,8.12
408,Brae,100,GB,1563598874,93,60.4,-1.35,57.2,13.87
409,Gummidipundi,20,IN,1563598877,59,13.42,80.13,91.4,10.29
410,Lipno,57,PL,1563598877,88,52.85,19.18,62.01,3.83
411,Iqaluit,90,CA,1563598844,93,63.75,-68.52,41.0,6.93
412,Tromso,0,NO,1563598791,71,69.65,18.96,59.0,11.41
413,Plyussa,99,RU,1563598878,89,58.42,29.37,61.25,8.9
414,Ust-Maya,28,RU,1563598878,41,60.42,134.54,60.35,7.45
415,Kulary,0,RU,1563598878,73,43.24,45.5,73.4,8.95
416,Dingle,82,PH,1563598835,73,11.0,122.67,85.73,5.08
417,Jalapa,40,GT,1563598879,82,14.63,-89.98,66.2,13.87
418,Ponta Delgada,75,PT,1563598879,100,37.73,-25.67,69.8,11.41
419,Champasak,99,LA,1563598879,63,14.89,105.88,88.97,6.53
420,Mondovi,75,US,1563598880,94,44.57,-91.67,82.99,6.93
421,Malinovoye Ozero,97,RU,1563598880,80,51.68,79.77,67.01,3.11
422,Calama,0,CL,1563598880,13,-22.46,-68.93,46.4,20.8
423,Pitkyaranta,99,RU,1563598881,87,61.57,31.48,55.85,10.98
424,Chilia Veche,6,UA,1563598881,77,45.41,29.29,68.0,1.12
425,Suriapet,34,IN,1563598882,54,17.15,79.62,90.95,5.17
426,Great Falls,1,US,1563598882,43,47.5,-111.29,57.2,9.17
427,Petropavlovsk-Kamchatskiy,75,RU,1563598882,88,53.05,158.65,68.0,6.71
428,Plettenberg Bay,94,ZA,1563598882,80,-34.05,23.37,46.85,8.39
429,Pimentel,0,BR,1563598883,87,-3.7,-45.5,69.53,2.75
430,Mangan,11,IN,1563598883,69,27.5,88.54,72.41,6.87
431,Suhbaatar,100,MN,1563598864,41,50.23,106.21,79.97,1.81
432,Ipixuna,0,BR,1563598884,88,-1.76,-48.8,77.0,2.24
433,Grindavik,75,IS,1563598884,87,63.84,-22.43,51.8,10.29
434,Cuautepec,100,MX,1563598884,93,16.75,-99.0,71.69,2.75
435,Umm Kaddadah,0,SD,1563598885,48,13.6,26.69,83.75,8.52
436,Pozo Colorado,6,PY,1563598885,97,-23.49,-58.8,61.61,3.91
437,Gladstone,75,AU,1563598885,40,-23.84,151.26,73.99,17.22
438,Batagay,84,RU,1563598886,36,67.65,134.64,59.09,7.43
439,Pontivy,90,FR,1563598886,100,48.06,-2.97,66.99,5.82
440,Namibe,0,AO,1563598886,85,-15.19,12.15,68.09,3.87
441,Van Wert,1,US,1563598886,78,40.86,-84.58,82.99,8.05
442,Port Macquarie,0,AU,1563598595,32,-31.43,152.91,70.0,6.93
443,Hambantota,75,LK,1563598887,62,6.12,81.12,89.6,25.28
444,Los Llanos de Aridane,90,ES,1563598887,83,28.66,-17.92,71.6,16.11
445,Pattaya,20,TH,1563598888,55,12.93,100.9,100.0,11.41
446,Zhigalovo,71,RU,1563598888,33,54.81,105.15,83.93,1.72
447,Novobirilyussy,20,RU,1563598888,45,56.95,90.69,68.27,8.52
448,Lewisporte,75,CA,1563598889,87,49.25,-55.06,54.0,5.82
449,Aripuana,29,BR,1563598889,58,-9.17,-60.63,72.41,1.03
450,Bubaque,86,GW,1563598889,80,11.28,-15.83,78.35,10.31
451,Russell,1,US,1563598890,43,38.9,-98.86,87.8,17.22
452,Angoche,0,MZ,1563598890,71,-16.23,39.91,71.69,4.32
453,Necochea,99,AR,1563598843,93,-38.55,-58.74,48.99,4.0
454,Digby,0,CA,1563598890,97,44.62,-65.76,61.0,5.01
455,Mercedes,64,UY,1563598890,92,-33.25,-58.03,55.99,5.01
456,Hearst,73,CA,1563598891,61,49.69,-83.67,64.13,7.36
457,Katherine,0,AU,1563598891,9,-14.47,132.26,91.4,5.82
458,Havoysund,0,NO,1563598892,63,71.0,24.66,62.6,10.29
459,Mzimba,0,MW,1563598892,50,-11.9,33.6,66.11,2.93
460,Tsaritsani,46,GR,1563598892,82,39.88,22.23,75.99,3.36
461,Tarpon Springs,40,US,1563598852,88,28.15,-82.76,78.01,4.7
462,San Juan,100,AR,1563598893,15,-31.54,-68.53,47.57,4.94
463,Port Lincoln,0,AU,1563598893,59,-34.72,135.86,63.41,29.55
464,Gobabis,0,NA,1563598893,25,-22.45,18.97,42.17,2.68
465,Cairns,40,AU,1563598868,47,-16.92,145.77,75.2,14.99
466,Fatehpur,0,PK,1563598893,38,31.18,71.21,100.13,5.06
467,Ialibu,100,PG,1563598894,99,-6.28,143.99,66.11,3.02
468,Lasa,20,CY,1563598894,69,34.92,32.53,78.8,4.7
469,Kota Kinabalu,75,MY,1563598897,67,5.98,116.07,93.2,5.82
470,Vallenar,0,CL,1563598898,65,-28.58,-70.76,51.17,1.7
471,Harper,1,US,1563598898,65,30.3,-99.24,80.6,6.93
472,Thinadhoo,54,MV,1563598898,77,0.53,72.93,83.03,15.05
473,Torres,91,BR,1563598661,79,-29.34,-49.73,59.27,3.85
474,Awbari,0,LY,1563598899,25,26.59,12.77,82.49,19.91
475,San Ramon de la Nueva Oran,6,AR,1563598869,94,-23.13,-64.33,55.85,1.95
476,Vila Franca do Campo,75,PT,1563598899,100,37.72,-25.43,69.8,11.41
477,Samarai,63,PG,1563598900,78,-10.62,150.67,74.03,9.6
478,Goderich,100,CA,1563598844,91,43.74,-81.71,79.0,4.0
479,Westport,1,US,1563598900,88,41.14,-73.36,82.4,4.7
480,Apiai,71,BR,1563598900,92,-24.51,-48.84,53.51,0.54
481,Palo Alto,90,US,1563598901,87,37.44,-122.16,68.0,6.93
482,Marzuq,44,YE,1563598901,15,14.4,46.47,89.33,4.52
483,Lencois Paulista,0,BR,1563598901,72,-22.6,-48.8,64.4,6.93
484,Chipata,0,ZM,1563598902,50,-13.64,32.65,66.65,0.63
485,Warmbad,83,DE,1563598902,100,50.67,13.08,63.0,4.83
486,Batie,0,FR,1563598903,63,45.06,5.82,64.99,3.36
487,Lazarev,100,RU,1563598903,97,52.23,141.51,55.85,8.93
488,Nueve de Julio,37,AR,1563598903,41,-31.67,-68.39,50.81,10.63
489,Corning,40,US,1563598829,94,42.14,-77.05,77.0,9.17
490,Nishihara,75,JP,1563598904,94,35.74,139.53,91.0,3.36
491,Tame,100,CO,1563598904,92,6.46,-71.72,51.89,3.15
492,Inhambane,0,MZ,1563598905,35,-23.87,35.38,65.57,9.62
493,Maldonado,0,UY,1563598905,100,-34.91,-54.96,50.0,3.36
494,Taguatinga,0,BR,1563598905,67,-15.83,-48.06,57.2,5.59
495,Madang,7,CN,1563598906,55,35.32,102.79,60.71,2.1
496,Muravlenko,0,RU,1563598907,44,63.79,74.5,83.39,12.37
497,Iquitos,0,PE,1563598907,94,-3.75,-73.25,73.4,1.39
498,Surman,0,LY,1563598907,68,32.76,12.57,77.63,9.8
499,San Policarpo,71,PH,1563598908,78,12.18,125.51,84.11,6.69
500,Jumla,1,NP,1563598908,40,29.28,82.18,73.85,6.2
501,Taitung,75,TW,1563598908,70,22.76,121.15,87.8,3.36
502,Nemuro,75,JP,1563598908,100,43.32,145.57,64.4,5.82
503,Entre Rios,64,BR,1563598756,96,-11.94,-38.08,64.13,6.29
504,Liwale,0,TZ,1563598909,56,-9.8,37.92,71.51,2.19
505,Uige,89,AO,1563598909,84,-7.61,15.06,63.23,4.81
506,Hondo,40,US,1563598909,78,29.35,-99.14,82.99,10.29
507,Garden City,0,US,1563598910,32,43.62,-116.24,73.4,7.23
508,Khani,90,GE,1563598910,100,41.96,42.96,71.6,2.24
509,Mantua,0,IT,1563598911,77,45.16,10.79,73.99,1.12
510,Matara,26,BI,1563598911,77,-3.48,29.48,56.75,1.9
511,Puerto Maldonado,54,PE,1563598911,80,-12.59,-69.19,73.85,0.85
512,Nova Iguacu,0,BR,1563598619,87,-22.76,-43.45,66.2,3.36
513,Hervey Bay,75,AU,1563598858,43,-25.3,152.85,71.6,12.75
514,Price,20,US,1563598912,24,39.6,-110.81,82.4,9.17
515,Jiexiu,82,CN,1563598912,60,37.02,111.92,80.15,6.64
516,Berlevag,0,NO,1563598913,86,70.86,29.09,50.63,6.11
517,Rosario,51,UY,1563598913,93,-34.31,-57.35,53.01,7.09
518,Nenjiang,100,CN,1563598913,90,49.17,125.23,76.55,10.13
519,Marfino,75,RU,1563598913,93,56.07,37.56,63.0,8.95
520,La Ronge,20,CA,1563598714,77,55.1,-105.3,60.8,11.41
521,Barinas,85,VE,1563598914,92,8.64,-70.23,71.69,2.68
522,Erice,0,IT,1563598914,68,38.04,12.59,78.01,3.36
523,Hare Bay,75,CA,1563598914,87,48.86,-53.99,51.8,5.82
524,Shalinskoye,69,RU,1563598915,59,55.72,93.76,65.39,7.56
525,Bandarbeyla,91,SO,1563598915,41,9.49,50.81,85.73,34.02
526,Ouesso,69,CG,1563598918,92,1.61,16.05,70.25,3.11
527,Njombe,4,TZ,1563598919,72,-9.34,34.77,55.67,1.21
528,San Isidro,20,CR,1563598919,73,10.02,-84.06,73.4,16.11
529,Nanortalik,99,GL,1563598919,98,60.14,-45.24,40.37,3.96
530,Buala,61,SB,1563598919,78,-8.15,159.59,81.77,8.41
531,Dwarka,75,IN,1563598920,63,28.58,77.04,93.2,5.82
532,Srednekolymsk,82,RU,1563598920,56,67.46,153.71,51.35,9.08
533,Yorosso,87,ML,1563598920,85,12.35,-4.78,72.77,5.17
534,Oussouye,100,SN,1563598921,75,12.49,-16.54,76.19,9.44
535,Gasa,63,BT,1563598921,71,27.91,89.73,49.73,7.58
536,Klyuchi,88,RU,1563598921,57,52.25,79.17,76.01,9.06
537,Lompoc,1,US,1563598800,82,34.64,-120.46,62.6,5.82
538,The Valley,40,AI,1563598922,78,18.22,-63.06,82.4,6.93
539,Malindi,40,KE,1563598922,78,-3.22,40.12,77.0,8.05
540,Jining,23,CN,1563598922,37,35.41,116.58,97.61,4.94
541,Puerto Cabezas,100,NI,1563598825,96,14.04,-83.39,76.55,3.89
542,San Fernando,20,TT,1563598923,78,10.28,-61.46,79.0,9.42
543,Saint-Francois,0,FR,1563598923,87,46.42,3.91,59.0,5.88
544,Hualmay,38,PE,1563598923,86,-11.1,-77.61,61.43,12.95
